实际销量,预测销量
95,86.29211
194,201.35455
125,138.92973
160,145.75813
167,193.80998
181,157.62065
163,147.72205
190,142.74097
282,247.93913
47,76.02063
69,127.16034
82,131.95966
108,163.63515
69,113.74398
89,146.01706
107,161.87192
46,65.2586
96,154.53685
179,274.61743
86,154.09988
100,144.86938
75,142.18018
53,97.26742
41,69.81382
105,110.82761
78,74.82036
80,154.429
108,102.864044
69,71.30497
122,138.10612
95,112.25853
148,255.82689
38,97.18814
46,104.77444
91,98.77439
86,80.88007
45,103.267456
97,135.29604
39,93.054184
84,128.0874
93,118.13143
53,93.45599
78,108.37427
87,146.78944
175,262.39758
77,73.472496
90,145.9055
63,104.64849
118,129.99347
80,140.11284
39,92.221054
48,91.21618
105,107.1835
55,54.01786
78,136.32207
50,101.11618
54,91.08539
96,128.96472
63,93.52863
38,103.6443
125,109.37016
89,112.68318
62,103.27997
106,101.09023
69,70.237465
94,104.27159
74,130.38893
156,251.36809
89,106.379395
90,89.56531
80,90.70349
105,103.14121
71,94.60732
69,109.82852
78,115.24596
70,85.22547
52,108.50175
42,50.220642
109,133.12607
52,78.21948
82,78.46166
135,223.71997
101,134.98691
38,100.57844
86,103.06021
98,91.788086
78,75.08519
50,49.827183
109,106.68814
80,109.59534
135,162.73529
74,76.57267
91,79.43887
84,115.15971
80,92.8606
51,47.798317
67,91.760826
63,42.415176
26,79.614136
75,75.42503
77,76.23263
72,80.314804
91,91.28943
53,43.397614
39,38.651188
96,86.72145
66,81.51683
36,47.704987
102,97.19333
90,80.053795
44,43.47473
91,80.97991
108,103.89946
133,144.1388
103,73.70744
45,49.996128
66,87.54692
94,90.475365
76,76.55624
51,41.36134
62,77.853485
96,90.42814
31,45.985092
73,76.33571
129,135.83875
47,42.828144
68,76.2518
87,77.00231
78,86.405014
27,38.169594
68,70.61216
71,71.893295
95,85.42665
45,48.984695
52,42.93695
105,92.02608
160,140.90326
100,77.56071
82,97.77574
45,50.54713
71,75.983284
73,72.98941
102,87.74573
103,98.93309
87,84.017944
69,78.57345
62,70.461624
81,100.08283
72,81.20058
108,94.3078
52,47.00027
34,43.727333
68,44.45094
101,83.72797
84,73.827415
84,82.20023
156,146.17058
51,43.02289
73,93.37227
86,99.55545
53,47.207996
183,148.93643
39,49.002647
86,80.690315
76,86.91307
102,92.163055
89,84.95708
88,96.86224
82,90.16746
45,42.47743
77,79.18799
70,76.00276
111,89.25388
39,42.379555
93,95.94945
84,84.663445
42,43.97475
45,52.872566
88,99.314804
37,40.82767
54,45.300922
68,75.78704
78,92.87209
83,84.1116
87,77.77319
85,90.190346
76,74.25627
157,150.76994
105,95.094086
32,40.039177
36,44.538673
35,43.447254
88,77.00234
72,99.64073
83,87.283875
163,149.6588
74,73.11584
64,83.17725
25,41.53752
73,74.40815
88,90.58275
96,98.13353
98,100.58038
80,90.72669
84,76.03354
69,48.230957
164,138.35527
189,169.34637
109,121.061386
181,162.18677
234,236.40569
182,147.21233
234,232.56584
316,269.8003
97,83.6541
196,174.36989
182,157.73907
243,237.8369
230,229.5399
229,171.36804
176,144.99258
103,93.56709
214,169.97699
212,184.22311
187,182.86192
117,101.48979
114,77.57463
161,138.55685
204,185.0951
180,144.07384
217,182.47072
119,101.30801
166,139.54967
362,347.62512
252,228.73479
196,199.62845
425,409.72238
235,176.40128
217,168.88774
91,100.46844
196,143.93593
146,120.53544
172,149.46683
110,100.566505
267,173.94997
231,164.24628
109,101.76432
191,154.07129
220,183.19447
91,98.36521
104,124.426445
173,164.68678
215,218.2104
215,172.24521
166,166.57674
410,435.96744
191,171.24666
267,182.87071
131,116.163246
220,192.53369
244,241.14104
105,99.44846
221,192.20201
200,171.2082
114,145.9046
176,179.50981
211,181.44083
198,184.86992
128,107.71258
121,122.78337
239,183.84792
119,109.91505
244,193.62102
217,197.6277
223,178.18681
188,171.98795
333,415.9666
214,179.16676
228,174.42415
213,180.54861
178,185.26357
244,205.36563
125,119.18645
99,122.19878
206,190.71252
200,185.62097
119,108.46011
225,212.07727
350,367.22534
190,178.05548
210,212.80995
192,169.4246
247,207.80086
125,113.125694
101,107.19237
202,187.26747
202,226.30746
102,116.23158
256,250.13248
192,209.716
109,116.67397
218,230.94514
256,233.34842
197,161.82738
198,202.42976
233,244.04054
209,217.07962
95,115.3316
376,339.88113
126,110.46192
88,110.36232
191,197.25342
208,236.49696
119,111.49168
254,273.80072
261,241.9704
158,194.1044
161,196.53844
180,197.24568
357,340.8532
225,240.5876
132,107.29584
249,219.10025
195,219.50812
218,184.82768
234,161.67485
125,106.482796
111,97.41141
114,100.143105
206,158.19359
183,168.27367
253,258.77374
403,387.75775
150,122.24069
211,191.5795
255,201.76936
215,190.91415
202,152.87234
229,199.97322
240,182.65523
254,158.15666
230,167.34174
216,161.69888
208,144.52661
109,124.78892
194,151.19226
99,103.305046
388,418.71075
109,110.56476
118,86.90862
206,241.82104
170,174.84447
233,214.56706
205,165.9899
201,156.86131
101,102.59691
121,111.52411
121,108.8328
228,252.38455
385,393.57568
194,145.13272
234,190.1607
192,142.6008
281,211.52531
215,184.58177
200,190.49838
179,164.43425
258,200.68921
106,112.25025
210,234.04428
172,146.84198
207,159.89041
233,192.7549
196,154.14804
365,395.19177
124,112.14044
270,195.19835
186,148.65741
254,255.08331
130,102.69618
129,110.505745
121,127.291214
218,192.60559
186,156.47014
244,193.6396
104,101.49056
98,104.913124
231,189.8395
201,157.19408
227,205.71695
104,101.06552
188,161.73228
256,228.18806
165,176.04184
194,175.2533
107,111.132454
198,189.37949
352,394.3858
181,148.4659
116,114.24076
220,261.1614
115,113.45066
124,107.80786
178,147.2198
201,147.5113
200,223.808
205,223.9905
105,101.17588
187,188.51814
398,344.32532
255,238.86768
198,187.24294
255,229.8792
244,228.34885
343,391.8399
91,108.57284
179,188.6253
203,202.64885
180,216.50099
211,223.04936
178,147.32382
217,241.93282
134,110.81884
103,111.51533
267,242.42383
224,236.73824
199,219.59047
86,107.49681
195,201.17876
137,343.82333
94,146.65933
71,139.62437
78,150.75772
70,143.74448
87,162.84224
65,167.92738
67,119.11933
64,156.81076
32,88.639496
37,85.387146
48,78.85895
72,150.2168
75,122.22827
37,96.41327
55,107.990585
86,122.66591
71,144.39418
72,147.81966
75,107.13414
139,241.25545
74,107.05566
62,88.03596
39,91.57181
51,71.13189
115,123.36188
80,112.872406
71,114.169525
90,148.9664
49,62.29708
83,116.08373
66,102.32753
98,140.47397
42,102.75782
104,124.610306
98,85.54894
77,115.31261
118,241.17184
78,155.28575
79,88.86385
44,62.000664
73,120.994835
34,72.49331
87,96.611046
40,46.60441
108,139.49382
93,122.21865
47,51.277634
51,53.520912
88,130.56725
49,53.70215
92,114.966545
102,133.17928
34,38.403103
106,164.33951
96,117.623505
153,188.11284
67,121.28643
97,155.94717
74,127.000786
63,65.73123
88,146.5422
143,339.0755
69,105.33164
37,79.79025
51,83.95442
65,120.117546
85,191.73427
63,123.75788
94,158.03235
91,154.37451
38,74.88196
82,133.96318
83,148.35342
84,111.91781
42,29.834507
72,83.54998
101,112.61339
49,45.869953
136,238.03392
95,103.49293
34,56.824257
39,55.619606
52,176.44063
72,68.60599
70,114.77066
102,113.04466
52,82.20011
74,77.61681
